,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IS_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics
0,5313.0,935.0,6997.0,2798.98989899,3864.0,5105.0,38467.032967,2544.0,514.0,21857.0,7012.0,36073.0,4528.0,1383.0,3119.0,1995.0,1864.0,24761.0,791.0,503.0,487.0,269.0,620.0,9348.0,9925.0,11294.0,4662.0,4166.0,2696.0,10842.0,1021.0,2375.0
1,5625.0,955.0,7602.0,2905.05050505,3940.0,5220.0,43614.2857143,2614.0,542.0,23627.0,7068.0,39352.0,4980.0,1363.0,3457.0,2067.0,1879.0,29618.0,837.0,619.0,505.0,271.0,629.0,9809.0,10144.0,12760.0,4843.0,4602.0,2796.0,10880.0,1281.0,2539.0
2,5784.0,969.0,7705.0,2889.8989899,4188.0,5360.0,42878.021978,2764.0,555.0,23721.0,7086.0,39470.0,5101.0,1392.0,3501.0,2086.0,1861.0,29999.0,849.0,586.0,517.0,278.0,576.0,9991.0,9781.0,12964.0,4838.0,4712.0,2820.0,11171.0,1303.0,2537.0
3,5904.0,976.0,7674.0,2948.48484848,4321.0,5301.0,44085.7142857,2679.0,544.0,24581.0,7085.0,39782.0,5108.0,1411.0,3518.0,2145.0,1878.0,30159.0,855.0,574.0,528.0,282.0,645.0,9973.0,9956.0,13182.0,5029.0,4685.0,2847.0,10794.0,1318.0,2531.0
4,6037.0,985.0,7820.0,2979.7979798,4164.0,4658.0,44016.483516500004,2666.0,563.0,24619.0,7045.0,39797.0,5121.0,1417.0,3609.0,2107.0,1862.0,30411.0,873.0,670.0,538.0,284.0,640.0,9875.0,9904.0,13452.0,5265.0,4687.0,2881.0,10690.0,1310.0,2477.0
5,5624.0,998.0,7443.0,2901.01010101,4225.0,4449.0,42160.4395604,2506.0,544.0,24433.0,7028.0,38113.0,5133.0,1470.0,3541.0,2126.0,1901.0,30647.0,852.0,655.0,546.0,290.0,645.0,9610.0,9639.0,13135.0,5240.0,4618.0,2920.0,10404.0,1099.0,2319.0
6,5052.0,981.0,6984.0,2823.23232323,3888.0,4287.0,37280.2197802,2469.0,511.0,22690.0,6750.0,36119.0,4892.0,1386.0,3276.0,2145.0,1893.0,28757.0,804.0,652.0,516.0,298.0,620.0,9357.0,9541.0,11583.0,4886.0,4204.0,2838.0,10197.0,1193.0,2340.0
7,5478.0,997.0,7135.0,2838.0,4258.0,5573.0,42083.5051546,2603.0,565.0,21641.0,7026.0,35502.0,4830.0,1428.0,3320.0,1943.0,1850.0,25079.0,817.0,604.0,504.0,265.0,679.0,9274.0,10167.0,11679.0,4270.0,4005.0,2850.0,10916.0,1145.0,2355.0
8,5821.0,991.0,7780.0,2983.0,4583.0,5702.0,45878.350515499995,2746.0,579.0,24156.0,7156.0,38790.0,5118.0,1463.0,3549.0,2061.0,1863.0,28338.0,854.0,630.0,528.0,267.0,718.0,9619.0,10194.0,12960.0,4703.0,4512.0,2834.0,11171.0,1171.0,2527.0
9,5797.0,998.0,7836.0,2991.0,4375.0,5726.0,45826.8041237,2754.0,599.0,24182.0,7128.0,39189.0,5244.0,1363.0,3627.0,2113.0,1879.0,29307.0,851.0,613.0,516.0,266.0,709.0,9696.0,10125.0,12986.0,4686.0,4613.0,2881.0,11142.0,1190.0,2528.0
10,5904.0,1012.0,7863.0,2992.0,4654.0,5752.0,46144.3298969,2781.0,581.0,23757.0,7213.0,39842.0,5140.0,1518.0,3680.0,2127.0,1858.0,29359.0,854.0,594.0,512.0,263.0,712.0,9739.0,9877.0,13193.0,4669.0,4590.0,2903.0,10787.0,1240.0,2558.0
11,5816.0,1004.0,7983.0,3070.0,4463.0,5743.0,46217.5257732,2792.0,570.0,23336.0,7145.0,39865.0,5233.0,1531.0,3567.0,2135.0,1876.0,29837.0,849.0,631.0,506.0,268.0,714.0,9969.0,10083.0,13243.0,4722.0,4537.0,2917.0,10965.0,1231.0,2567.0
12,5643.0,1015.0,7685.0,3022.0,4388.0,5118.0,44789.690721599996,2627.0,575.0,23608.0,6839.0,37912.0,4995.0,1500.0,3614.0,2087.0,1866.0,28812.0,830.0,681.0,505.0,273.0,691.0,9930.0,9893.0,13283.0,4706.0,4554.0,2861.0,10148.0,1200.0,2502.0
13,5099.0,1021.0,7182.0,2929.0,3782.0,4854.0,39494.84536080001,2447.0,547.0,21917.0,6704.0,35916.0,4853.0,1469.0,3356.0,2000.0,1879.0,25708.0,791.0,615.0,509.0,273.0,701.0,9640.0,9386.0,12070.0,4367.0,4268.0,2915.0,9791.0,1132.0,2348.0
14,5285.0,971.0,7443.0,2977.0,5573.0,5553.0,41655.6701031,2560.9,551.0,24227.0,6897.0,36739.555444,4262.0,1291.0,3288.0,2052.0,1937.0,24574.0,829.0,526.0,508.0,280.0,635.0,9964.0,10222.0,12130.0,4608.0,4312.0,2846.0,10787.0,1111.0,2453.0
15,5783.0,997.0,8133.0,3100.0,5488.0,5799.0,46058.7628866,2699.0,593.0,26790.0,7162.0,40428.594444,4452.0,1379.0,3650.0,2231.0,1910.0,29078.0,871.0,553.0,530.0,299.0,658.0,10605.0,10606.0,13690.0,5009.0,4759.0,2981.0,11072.0,1260.0,2597.0
16,5926.0,1008.0,8264.0,3067.0,6000.0,5829.0,46720.6185567,2697.4,588.0,27026.0,7062.0,40434.579237,4256.0,1544.0,3706.0,2285.0,1949.0,30066.0,887.0,612.0,527.0,306.0,641.0,10753.0,10518.0,13660.0,5008.0,4881.0,2915.0,11162.0,1264.0,2599.0
17,6026.0,1021.0,8411.0,3057.0,6313.0,5924.0,48171.134020599995,2811.0,590.0,25655.0,6965.0,41551.943237,4191.0,1554.0,3784.0,2238.0,1964.0,30769.0,880.0,594.0,528.0,316.0,644.0,11282.0,10199.0,13819.0,4901.0,4720.0,2977.0,10691.0,1289.0,2620.0
18,6054.0,1026.0,8335.0,3088.0,6111.0,5898.0,48621.64948450001,2777.0,588.0,25908.0,7035.0,41588.531237,4413.0,1586.0,3798.0,2221.0,1979.0,31661.0,885.0,631.0,535.0,323.0,643.0,11138.0,10220.0,14040.0,4921.0,4828.0,3006.0,10650.0,1315.0,2635.0
19,5773.0,1041.0,8249.0,3122.0,5647.0,5229.0,46065.9793814,2640.0,584.0,25880.0,6874.0,40772.883237,4573.0,1608.0,3744.0,2277.0,1962.0,31028.0,888.0,681.0,534.0,300.0,658.0,11120.0,10141.0,13907.0,4883.0,4766.0,3044.0,10100.0,1297.0,2577.0
20,5238.0,1031.0,7663.0,3034.0,5330.0,4971.0,40672.1649485,2553.0,552.0,24390.0,6766.0,37686.370237,4486.0,1598.0,3489.0,2137.0,1940.0,28502.0,842.0,592.0,528.0,301.0,656.0,10448.0,10172.0,12518.0,4569.0,4377.0,3056.0,10126.0,1159.0,2441.0
21,5295.0,984.46,7374.0,3012.0,6026.0,5191.0,41012.5612245,2580.1,579.1,23321.0,7102.63,36187.0,5388.0,1667.0,3459.11,2019.3,1959.48,25738.0,823.0,556.18,526.0,286.0,627.0,10078.0,10412.0,12146.938775499999,4591.0,4463.0,3029.0,10796.0,1094.0,2456.86
22,5750.0,976.16,7724.0,3099.0,6121.0,4990.0,45091.4081633,2674.1,590.7,25276.0,7305.15,39296.0,5782.0,1785.0,3855.28,2124.43,1930.5,30831.0,864.0,667.8,517.0,288.0,621.0,10552.0,10661.0,13798.979591799998,4934.0,4874.0,3004.0,11012.0,1224.0,2613.0
23,5960.0,940.22,7885.0,3071.0,6768.0,4999.0,45917.5306122,2808.9,601.7,25474.0,7250.54,39542.0,5724.0,1818.0,3950.32,2206.56,1918.5,32673.0,842.0,610.35,534.0,288.0,568.0,10378.0,10375.0,14082.653061200002,5008.0,4889.0,2921.0,11024.0,1270.0,2597.09
