,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IS_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics
0,9038.0,1436.0,10577.0,3812.12121212,5029.0,7196.0,67637.3626374,4424.0,895.0,32243.0,9113.0,52934.0,5258.0,2029.0,4798.0,3103.0,2007.0,44112.0,1324.0,846.0,895.0,394.0,804.0,15065.0,12593.0,17668.0,6447.0,5974.0,3999.0,15216.0,1425.0,3198.0
1,9257.0,1465.0,10948.0,3794.94949495,5138.0,7245.0,69114.2857143,4305.0,894.0,32743.0,8967.0,54093.0,5756.0,2107.0,4943.0,3166.0,1989.0,47593.0,1360.0,849.0,881.0,400.0,791.0,15011.0,12770.0,18198.0,6259.0,5994.0,4031.0,15152.0,1476.0,3298.0
2,9490.0,1452.0,11279.0,3862.62626263,5516.0,7293.0,69581.3186813,4469.0,890.0,33307.0,8955.0,54884.0,5855.0,2138.0,5038.0,3215.0,2013.0,48046.0,1367.0,736.0,904.0,394.0,842.0,15619.0,12682.0,18479.0,6354.0,5982.0,4098.0,15159.0,1509.0,3284.0
3,9586.0,1482.0,11330.0,3911.11111111,5266.0,7265.0,70109.89010989999,4456.0,915.0,33507.0,9060.0,54545.0,5990.0,2170.0,5114.0,3206.0,1997.0,48830.0,1414.0,862.0,961.0,400.0,842.0,15411.0,12656.0,18779.0,6710.0,6048.0,4214.0,15294.0,1543.0,3231.0
4,9552.0,1484.0,11176.0,3930.3030303000014,5253.0,5962.0,69413.1868132,4315.0,917.0,34083.0,9062.0,54177.0,5975.0,2229.0,5149.0,3225.0,2037.0,48828.0,1418.0,846.0,950.0,410.0,839.0,15433.0,12491.0,18691.0,6898.0,6043.0,4180.0,14880.0,1523.0,2912.0
5,7836.0,1483.0,9560.0,3674.74747475,3856.0,5639.0,57551.6483516,3202.0,737.0,29090.0,7933.0,46249.0,5547.0,2065.0,4628.0,2749.0,1945.0,41480.0,1147.0,753.0,780.0,410.0,823.0,12644.0,11088.0,16510.0,5772.0,5454.0,4014.0,12392.0,1411.0,2875.0
6,6758.0,1401.0,8837.0,3493.93939394,3835.0,5724.0,48463.7362637,3037.0,704.0,24898.0,7518.0,41381.0,4712.0,1972.0,4375.0,2489.0,1906.0,33939.0,1105.0,685.0,730.0,405.0,859.0,11103.0,10413.0,14145.0,5160.0,4771.0,3911.0,11916.0,1437.0,2953.0
7,9709.0,1414.0,10296.0,3923.0,5479.0,7705.0,70198.9690722,4468.0,951.0,31105.0,9126.0,51938.0,5682.0,2079.0,5071.0,3122.0,1963.0,44771.0,1415.0,866.0,928.0,382.0,750.0,14666.0,13075.0,18199.0,5915.0,5761.0,4078.0,15728.0,1699.0,3396.0
8,9188.0,1383.0,10522.0,3987.0,5230.0,7500.0,69885.5670103,4505.0,966.0,32352.0,9130.0,53688.0,5915.0,2049.0,4946.0,3224.0,2006.0,46436.0,1394.0,826.0,930.0,378.0,761.0,14627.0,12677.0,18212.0,6047.0,5916.0,4039.0,15471.0,1706.0,3267.0
9,9401.0,1365.0,10590.0,3998.0,5764.0,7600.0,70967.0103093,4519.0,939.0,32240.0,9115.0,53910.0,6148.0,2094.0,5018.0,3226.0,1999.0,48763.0,1360.0,781.0,887.0,379.0,757.0,14758.0,12590.0,18343.0,6053.0,5860.0,4097.0,15371.0,1748.0,3350.0
10,9277.0,1384.0,10650.0,3987.0,5296.0,7653.0,70625.7731959,4628.0,905.0,31652.0,9050.0,54700.0,6045.0,2099.0,5018.0,3225.0,2013.0,48361.0,1376.0,777.0,894.0,381.0,764.0,14866.0,12462.0,18350.0,6073.0,6054.0,4173.0,15183.0,1736.0,3244.0
11,9242.0,1403.0,10887.0,4014.0,5322.0,7586.0,71825.7731959,4510.0,939.0,31372.0,9025.0,54700.0,5565.0,2106.0,5040.0,3215.0,1975.0,48522.0,1377.0,722.0,909.0,379.0,759.0,15275.0,12486.0,18893.0,6220.0,5902.0,4048.0,15065.0,1715.0,3292.0
12,7762.0,1434.0,9246.0,3746.0,4224.0,6356.0,59395.8762887,3616.0,769.0,28053.0,7853.0,45803.0,5163.0,1999.0,4579.0,2734.0,1946.0,38575.0,1199.0,758.0,779.0,386.0,744.0,12925.0,11207.0,17012.0,5133.0,5290.0,3908.0,12304.0,1566.0,2902.0
13,6760.0,1378.0,8279.0,3644.0,4053.0,6326.0,51359.7938144,3393.0,747.0,24169.0,7538.0,41300.0,4663.0,1937.0,4401.0,2389.0,1896.0,31753.0,1128.0,654.0,741.0,388.0,811.0,10731.0,10843.0,14870.0,4537.0,4618.0,3890.0,11690.0,1428.0,2955.0
14,9353.0,1425.0,10831.0,4154.0,7657.0,7677.0,70178.3505155,4463.8,941.0,34586.0,8992.0,53881.812444,6475.0,2037.0,5054.0,3230.0,2077.0,45786.0,1413.0,786.0,911.0,400.0,750.0,14581.0,13451.0,18756.0,6423.0,6010.0,3962.0,15639.0,1596.0,3401.0
15,9449.0,1412.0,11177.0,4165.0,7743.0,7839.0,71043.29896910001,4440.2,938.0,35449.0,8927.0,56266.174444000004,6598.0,2096.0,5128.0,3423.0,2054.0,48254.0,1414.0,712.0,903.0,401.0,767.0,14881.0,13242.0,19102.0,6441.0,6286.0,4038.0,15173.0,1649.0,3400.0
16,9369.0,1425.0,11301.0,4139.0,8070.0,7897.0,71881.443299,4477.5,959.0,35059.0,8734.0,57179.007237,6301.0,2157.0,5210.0,3452.0,2095.0,49543.0,1422.0,788.0,903.0,398.0,745.0,15383.0,13128.0,19295.0,6360.0,6211.0,4105.0,15331.0,1717.0,3438.0
17,9563.0,1441.0,11372.0,4165.0,8206.0,8016.0,73251.5463918,4543.0,951.0,34490.0,8797.0,57078.475237,6385.0,2179.0,5349.0,3388.0,2111.0,50542.0,1426.0,811.0,925.0,409.0,732.0,16124.0,12928.0,19458.0,6319.0,6227.0,4193.0,14912.0,1747.0,3442.0
18,9588.0,1465.0,11163.0,4137.0,8223.0,7962.0,72667.0103093,4479.3,968.0,35090.0,9240.0,56613.488237,6636.0,2247.0,5331.0,3345.0,2084.0,51686.0,1440.0,813.0,942.0,419.0,768.0,15638.0,12806.0,19627.0,6328.0,6284.0,4187.0,14998.0,1726.0,3439.0
19,7856.0,1466.0,10008.0,3913.0,6458.0,6645.0,60403.092783500004,3596.4,795.0,30121.0,8098.0,48818.570237,6335.0,2095.0,4885.0,2880.0,2006.0,41351.0,1248.0,713.0,797.0,416.0,739.0,13546.0,11648.0,17709.0,5352.0,5628.0,4073.0,12346.0,1540.0,3160.0
20,6730.0,1388.0,8937.0,3805.0,5911.0,6292.0,51822.68041240001,3454.6,742.0,26651.0,7798.0,42622.650237,5852.0,2007.0,4538.0,2549.0,1961.0,33957.0,1168.0,707.0,763.0,445.0,799.0,11714.0,10888.0,15433.0,4753.0,4771.0,4052.0,12154.0,1441.0,3087.0
