,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,6095.04,1025.7511,8200.902,3451.3604,5799.8955,6107.713,46399.227,2833.9934,700.8404,22943.492,8531.004,47995.664,4396.85,1509.2764,3721.294,2426.9106,1997.5472,25891.555,931.3419,609.4379,592.4012,295.43945,728.55145,10182.842,13093.426,13824.385,4688.521,4976.881,3645.586,13401.2,1215.2577,2729.8208
1,6107.2427,1023.3164,8205.074,3456.2124,5794.5166,6095.882,46525.22,2834.226,699.39453,22968.836,8558.268,47976.42,4413.2534,1516.6355,3713.7607,2424.3633,1997.164,25878.309,932.49506,609.97845,591.9343,294.44406,728.8181,10172.825,13078.057,13805.917,4708.246,4976.1084,3632.3594,13397.01,1214.3442,2729.9077
2,6136.647,1025.645,8206.861,3460.4927,5791.994,6105.959,46634.258,2843.9675,699.6053,22932.672,8567.417,48188.36,4408.876,1516.8469,3732.5464,2434.7175,2000.1577,25956.867,934.65234,610.9968,595.2352,295.1461,728.0043,10190.971,13062.258,13816.379,4711.161,4988.3203,3640.2993,13403.092,1214.0242,2730.7554
3,6120.4287,1024.6631,8204.695,3459.9321,5801.0967,6105.1875,46548.164,2844.245,701.2367,22976.34,8551.007,47968.707,4423.0483,1514.8269,3715.6035,2430.601,1998.1141,25971.771,933.5351,609.98816,592.9149,294.8742,726.68896,10197.496,13091.959,13810.195,4700.577,4978.5405,3633.5635,13415.793,1214.2079,2732.3054
4,6110.911,1030.0891,8231.258,3459.245,5805.258,6133.1787,46330.734,2841.4897,706.44244,23007.404,8521.191,48153.008,4404.574,1504.6201,3741.0334,2431.354,1996.7543,25910.932,934.05975,608.8933,594.12427,297.70392,733.0833,10205.542,13144.035,13857.039,4667.291,4979.6396,3675.8726,13440.434,1220.6816,2738.3713
5,6104.724,1029.9946,8231.644,3458.0906,5806.749,6132.3564,46300.4,2840.7104,706.16705,23031.82,8512.533,48135.633,4406.153,1503.8956,3738.4998,2435.5024,1996.9116,25919.637,932.5549,608.7582,592.8473,297.97067,733.3685,10209.316,13145.621,13853.836,4670.4746,4974.94,3677.406,13437.309,1219.8539,2738.045
6,6212.6133,1042.5023,8271.232,3512.6729,5785.358,6135.6426,46819.805,2872.3408,709.6105,23121.488,8620.55,48525.766,4455.127,1533.0105,3767.8462,2429.0889,1999.6062,26287.469,942.8211,610.53076,601.598,300.41037,738.50055,10271.456,13180.686,13880.033,4700.5107,5012.676,3696.9854,13499.728,1223.5642,2751.889
7,6106.2944,1023.7216,8217.765,3456.7188,5790.458,6094.2217,46520.062,2831.5444,698.1257,23034.861,8554.564,48108.21,4414.5073,1518.0345,3719.8022,2437.091,1998.3053,25871.516,929.9585,610.2981,589.9416,295.52423,732.40784,10175.645,13068.488,13802.169,4727.5454,4969.296,3644.2307,13384.854,1213.1326,2729.8474
8,6110.27,1026.8925,8176.318,3456.885,5799.576,6099.3984,46537.414,2843.6226,698.9364,22885.871,8543.983,47917.438,4400.703,1514.4414,3713.938,2426.5825,1999.8485,26050.988,931.80707,610.0393,594.2002,294.58948,722.69135,10203.067,13075.295,13813.416,4695.0605,4986.476,3627.3945,13399.316,1211.4419,2726.9587
9,6095.4473,1028.6398,8220.568,3453.1052,5808.0977,6128.794,46277.61,2838.2136,705.2798,22997.25,8507.201,48062.492,4400.0625,1502.2783,3732.876,2432.6816,1996.7693,25899.295,931.94934,608.6749,592.57117,297.2679,731.4214,10201.985,13136.789,13848.717,4667.221,4974.133,3669.2761,13429.226,1218.9346,2735.634
10,6110.8037,1025.7499,8193.389,3456.944,5792.5493,6095.991,46549.1,2837.0776,698.1367,22929.434,8555.416,48037.305,4401.377,1516.9309,3719.6987,2428.513,1999.2981,25958.281,931.5596,610.3275,593.1503,294.88208,727.2035,10185.43,13065.682,13810.902,4709.8843,4982.5117,3635.0122,13389.331,1212.469,2727.6033
11,6117.1934,1030.5374,8236.801,3462.0278,5806.124,6135.9995,46346.035,2844.207,707.24756,23027.35,8523.031,48171.46,4410.8174,1505.1079,3742.603,2433.1323,1996.7537,25928.982,934.648,608.9061,594.28204,297.9766,733.56885,10211.714,13151.143,13858.672,4667.4565,4979.728,3678.4395,13448.104,1221.1763,2740.0413
