,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,5685.086,984.8734,7642.97,3118.3584,4060.791,5549.262,44430.992,2607.2493,568.5461,23431.674,7039.68,37707.438,4900.6685,1498.7206,3529.7922,2149.0215,1858.4395,28353.812,840.42804,507.2486,537.4958,295.6043,664.9898,10051.729,9805.923,13240.941,4703.508,4650.249,2954.5933,10752.111,1203.38,2566.1626
1,6110.31,1022.2262,8328.797,3444.7754,5275.63,6219.26,46859.67,2867.766,725.0465,22224.396,8884.911,48986.28,4174.7,1448.3503,3657.7114,2440.3848,1956.3811,25283.758,914.64624,580.0879,605.8979,290.29382,768.10913,9967.973,13545.843,13761.992,4584.6597,4919.8096,3746.0078,14009.677,1204.7957,2744.0574
2,7963.2383,1065.1116,9623.9,3738.4683,9572.331,7652.989,58814.297,3637.3562,855.15076,29258.625,9110.745,54972.953,4971.091,1869.0785,5153.302,2838.7163,2249.2612,34791.883,1269.6699,800.56445,666.0545,277.0849,515.9275,12032.27,14164.406,18269.783,5522.706,5978.213,3632.7588,14638.516,1730.9961,3444.8083
3,7917.8545,1132.3395,9857.048,4109.4746,8409.596,7645.7715,57380.39,3614.1294,894.8702,26769.25,9976.117,61198.273,5003.2144,1799.8635,4806.129,2862.1274,2158.9592,31477.355,1204.9883,730.1332,705.7112,325.18988,757.3759,11633.205,15584.443,17357.771,5246.875,5988.0933,4385.327,16166.801,1583.8677,3341.2998
4,7940.021,1073.0643,9658.42,3783.0254,9648.372,7650.704,58814.797,3641.3582,869.1017,28891.855,9380.614,56374.4,4963.522,1868.1592,5101.6807,2870.0488,2252.6777,34153.676,1267.8337,810.15063,673.5093,279.17776,540.1499,11953.762,14658.327,18163.707,5465.362,6016.4287,3771.9163,15051.71,1706.7043,3436.6936
5,5934.5054,997.39844,8354.954,3235.2358,6844.326,6158.284,45793.367,3030.8623,790.1026,21596.562,9603.576,51402.21,3976.3066,1443.9922,3693.633,2619.906,2070.1375,23704.191,974.9317,696.2687,618.2737,268.52713,686.5745,10112.553,15378.092,13782.045,4393.389,4969.1177,3762.9517,15293.313,1177.157,2744.6902
6,5643.034,1023.65704,7942.499,3431.9468,4768.1455,5825.332,43237.812,2684.0542,688.4517,20875.148,8733.75,48115.42,4068.7546,1381.3553,3345.808,2338.6177,1924.641,22844.861,839.5142,544.69324,575.6075,294.997,812.81995,9483.187,13504.376,12620.981,4374.633,4677.0186,3811.6738,13693.602,1097.5283,2591.3765
7,5723.0693,1018.92834,8097.225,3411.8003,5524.2646,5915.42,43469.062,2811.5889,733.8601,20723.672,9192.575,50643.92,4009.0767,1390.7742,3408.8413,2437.9526,1976.9427,22389.318,880.16736,599.1415,593.9773,291.07062,791.5181,9619.92,14539.377,12787.83,4314.164,4762.8296,3906.2905,14535.295,1099.4601,2622.1296
8,4810.621,902.45886,6924.0996,2781.6782,5865.1445,4804.1074,36860.508,2432.3782,545.1804,21566.598,6969.571,33655.57,4569.8047,1441.787,3353.3364,2124.982,2009.1135,23228.342,833.4874,633.5957,466.2492,255.41412,506.04926,9540.432,10494.855,11995.203,4283.8135,4392.748,2615.4927,10209.707,1072.7911,2360.906
9,7817.997,1182.9435,10011.715,4436.6416,8132.955,7505.706,55952.773,3510.7073,897.55884,25883.61,10449.675,66749.17,5043.1465,1784.882,4554.7363,2905.5762,2137.662,29028.39,1140.7173,711.21954,697.2361,360.047,941.6251,11494.212,16670.408,16501.295,5266.4824,5945.1523,4977.854,16930.389,1461.824,3247.9014
